18,13,8,7,2,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,30,31,32,27,27,22,29,22,21,16,9,2,9,8,1,0,1,1,8,15,
15,9,3,3,9,9,9,4,3,9,9,14,14,20,25,25,18,24,30,30,30,25,32,32,27,27,22,28,22,15,9,14,14,8,1,1,2,8,8,14,19,
19,12,12,7,2,3,10,9,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,1,1,2,8,8,14,19,
19,12,12,7,1,2,9,4,9,9,9,14,14,20,25,25,24,31,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,1,1,1,8,8,14,19,
19,12,12,7,2,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,1,1,1,8,8,14,19,
19,12,12,7,2,9,9,4,3,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,1,1,2,8,8,14,19,
19,12,12,7,2,9,9,4,9,9,9,14,14,20,25,25,24,31,30,30,30,25,26,26,27,27,22,29,28,21,16,9,2,9,8,1,0,1,1,8,9,
9,2,2,9,9,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,1,1,2,8,8,14,19,
19,12,12,7,2,9,9,4,9,9,9,14,14,20,25,25,18,18,25,30,30,25,26,26,27,27,22,29,22,15,9,14,7,6,6,1,0,1,1,1,0,
0,7,2,2,8,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,7,1,0,1,1,1,0,
0,7,1,2,9,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,8,8,8,1,1,8,2,8,14,19,
19,19,14,7,2,9,9,4,9,9,9,14,14,20,25,25,18,18,25,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,1,1,2,7,1,1,0,
0,7,7,8,2,9,9,3,4,5,10,9,15,15,20,25,25,30,30,25,26,21,26,21,27,32,27,27,20,25,18,13,8,9,8,1,0,1,1,7,12,
12,7,1,2,8,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,24,31,32,27,27,22,29,22,21,16,9,2,9,8,1,0,1,1,8,9,
9,8,2,9,9,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,23,16,15,8,8,9,8,1,0,1,1,8,9,
9,8,2,9,9,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,1,1,2,8,8,14,13,
13,13,8,7,2,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,1,1,2,8,8,14,19,
19,12,12,7,2,8,9,4,9,9,9,14,14,20,25,25,19,24,30,30,30,24,31,32,27,27,22,28,22,15,9,14,8,8,1,1,2,8,8,13,6,
6,6,1,2,9,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,9,9,8,7,0,1,1,8,8,
8,9,3,3,9,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,16,15,14,8,9,8,1,0,1,1,8,9,
9,8,2,9,9,9,9,4,10,10,10,15,16,15,20,25,31,31,30,30,30,30,25,26,27,20,27,27,21,14,9,14,8,8,1,1,2,8,8,14,19,
19,12,12,7,2,9,9,4,9,9,9,8,15,20,25,25,18,24,30,30,30,31,31,32,32,33,27,27,22,15,9,14,8,8,1,1,2,8,8,14,19,
19,12,12,7,2,9,9,4,9,9,9,14,14,20,25,25,18,18,25,30,30,25,20,20,27,27,22,29,22,15,9,14,8,8,1,1,2,8,8,14,19,
19,12,12,7,2,9,9,4,9,9,9,14,14,20,25,25,18,24,30,30,30,25,26,26,27,27,22,29,22,15,9,14,8,8,7,1,0,1,1,1,0,
